"year","total","region","type","population","providerRate","percentFemale","percentAge"
2004,0,"Cherokee","county",25694,0,-9,-9
2005,0,"Cherokee","county",26063,0,-9,-9
2006,0,"Cherokee","county",26727,0,-9,-9
2007,0,"Cherokee","county",27026,0,-9,-9
2008,0,"Cherokee","county",26869,0,-9,-9
2009,0,"Cherokee","county",26798,0,-9,-9
2010,0,"Cherokee","county",27527,0,-9,-9
2011,0,"Cherokee","county",27300,0,-9,-9
2012,0,"Cherokee","county",27030,0,-9,-9
2013,0,"Cherokee","county",27471,0,-9,-9
2014,0,"Cherokee","county",27451,0,-9,-9
2015,0,"Cherokee","county",27770,0,-9,-9
2016,0,"Cherokee","county",28591,0,-9,-9
2017,0,"Cherokee","county",29216,0,-9,-9
2000,0,"Chowan","county",14526,0,-9,-9
2001,0,"Chowan","county",14492,0,-9,-9
2002,0,"Chowan","county",14602,0,-9,-9
2003,0,"Chowan","county",14710,0,-9,-9
2004,0,"Chowan","county",14453,0,-9,-9
2005,0,"Chowan","county",14515,0,-9,-9
2006,1,"Chowan","county",14677,0.68,-9,-9
2007,1,"Chowan","county",14660,0.68,-9,-9
2008,1,"Chowan","county",14688,0.68,-9,-9
2009,0,"Chowan","county",14818,0,-9,-9
2010,0,"Chowan","county",14761,0,-9,-9
2011,0,"Chowan","county",14796,0,-9,-9
2012,0,"Chowan","county",14743,0,-9,-9
2013,0,"Chowan","county",14815,0,-9,-9
2014,0,"Chowan","county",14636,0,-9,-9
2015,0,"Chowan","county",14541,0,-9,-9
2016,0,"Chowan","county",14410,0,-9,-9
2017,0,"Chowan","county",14292,0,-9,-9
2000,0,"Clay","county",8775,0,-9,-9
2001,0,"Clay","county",9022,0,-9,-9
2002,0,"Clay","county",9139,0,-9,-9
2003,0,"Clay","county",9255,0,-9,-9
2004,0,"Clay","county",9499,0,-9,-9
2005,0,"Clay","county",9811,0,-9,-9
2006,0,"Clay","county",10116,0,-9,-9
2007,0,"Clay","county",10326,0,-9,-9
2008,0,"Clay","county",10310,0,-9,-9
2009,0,"Clay","county",10370,0,-9,-9
2010,0,"Clay","county",10622,0,-9,-9
2011,0,"Clay","county",10460,0,-9,-9
2012,0,"Clay","county",10520,0,-9,-9
2013,0,"Clay","county",10794,0,-9,-9
2014,0,"Clay","county",10794,0,-9,-9
2015,0,"Clay","county",11036,0,-9,-9
2016,0,"Clay","county",11320,0,-9,-9
2017,0,"Clay","county",11488,0,-9,-9
2000,3,"Cleveland","county",96287,0.31,-9,-9
2001,3,"Cleveland","county",96810,0.31,-9,-9
2002,3,"Cleveland","county",97921,0.31,-9,-9
2003,3,"Cleveland","county",99032,0.3,-9,-9
2004,3,"Cleveland","county",98497,0.3,-9,-9
2005,3,"Cleveland","county",97810,0.31,-9,-9
2006,3,"Cleveland","county",96720,0.31,-9,-9
2007,3,"Cleveland","county",97144,0.31,-9,-9
2008,3,"Cleveland","county",97953,0.31,-9,-9
2009,3,"Cleveland","county",98638,0.3,-9,-9
2010,3,"Cleveland","county",98249,0.31,-9,-9
2011,3,"Cleveland","county",98209,0.31,-9,-9
2012,3,"Cleveland","county",97702,0.31,-9,-9
2013,3,"Cleveland","county",97429,0.31,-9,-9
2014,3,"Cleveland","county",97920,0.31,-9,-9
2015,2,"Cleveland","county",97871,0.2,-9,-9
2016,2,"Cleveland","county",98244,0.2,-9,-9
2017,2,"Cleveland","county",98580,0.2,-9,-9
2000,1,"Columbus","county",54749,0.18,-9,-9
2001,1,"Columbus","county",54840,0.18,-9,-9
2002,1,"Columbus","county",55401,0.18,-9,-9
2003,1,"Columbus","county",55961,0.18,-9,-9
2004,1,"Columbus","county",54917,0.18,-9,-9
2005,1,"Columbus","county",54643,0.18,-9,-9
2006,1,"Columbus","county",54666,0.18,-9,-9
2007,2,"Columbus","county",54460,0.37,-9,-9
2008,2,"Columbus","county",54758,0.37,-9,-9
2009,2,"Columbus","county",56299,0.36,-9,-9
2010,2,"Columbus","county",58204,0.34,-9,-9
2011,2,"Columbus","county",57657,0.35,-9,-9
2012,1,"Columbus","county",57862,0.17,-9,-9
2013,1,"Columbus","county",57739,0.17,-9,-9
2014,1,"Columbus","county",57632,0.17,-9,-9
2015,1,"Columbus","county",57206,0.17,-9,-9
2016,1,"Columbus","county",57182,0.17,-9,-9
2017,1,"Columbus","county",56941,0.18,-9,-9
2000,3,"Craven","county",91436,0.33,-9,-9
2001,3,"Craven","county",91969,0.33,-9,-9
2002,3,"Craven","county",92602,0.32,-9,-9
2003,3,"Craven","county",93236,0.32,-9,-9
2004,4,"Craven","county",93454,0.43,-9,-9
2005,3,"Craven","county",92151,0.33,-9,-9
2006,3,"Craven","county",95566,0.31,-9,-9
2007,3,"Craven","county",96406,0.31,-9,-9
2008,3,"Craven","county",97766,0.31,-9,-9
2009,3,"Craven","county",100271,0.3,-9,-9
2010,3,"Craven","county",103951,0.29,-9,-9
2011,3,"Craven","county",104965,0.29,-9,-9
2012,3,"Craven","county",105179,0.29,-9,-9
2013,3,"Craven","county",104421,0.29,-9,-9
2014,4,"Craven","county",104520,0.38,-9,-9
2015,4,"Craven","county",103691,0.39,-9,-9
2016,4,"Craven","county",103737,0.39,-9,-9
2017,5,"Craven","county",103735,0.48,0,0.2
2000,8,"Cumberland","county",302963,0.26,0.125,0
2001,8,"Cumberland","county",301089,0.27,0.125,0
2002,10,"Cumberland","county",304855,0.33,0.1,0
2003,10,"Cumberland","county",308620,0.32,0.1,0
2004,11,"Cumberland","county",311526,0.35,0.0909,0
2005,9,"Cumberland","county",313000,0.29,0.1111,0.1111
2006,8,"Cumberland","county",306545,0.26,0.125,0.125
2007,10,"Cumberland","county",313616,0.32,0.1,0.1
2008,9,"Cumberland","county",316945,0.28,0.1111,0.1111
2009,9,"Cumberland","county",321121,0.28,0.2222,0.1111
2010,8,"Cumberland","county",321018,0.25,0.25,0.125
2011,11,"Cumberland","county",327643,0.34,0.2727,0.0909
2012,12,"Cumberland","county",330754,0.36,0.25,0.0833
2013,16,"Cumberland","county",332553,0.48,0.25,0.0625
2014,13,"Cumberland","county",329403,0.39,0.3077,0
2015,13,"Cumberland","county",328860,0.4,0.3077,0
2016,13,"Cumberland","county",329824,0.39,0.2308,0
2017,12,"Cumberland","county",329604,0.36,0.25,0.0833
2000,0,"Currituck","county",18190,0,-9,-9
2001,0,"Currituck","county",18861,0,-9,-9
2002,0,"Currituck","county",19293,0,-9,-9
2003,0,"Currituck","county",19726,0,-9,-9
2004,0,"Currituck","county",21059,0,-9,-9
2005,0,"Currituck","county",22617,0,-9,-9
2006,0,"Currituck","county",23580,0,-9,-9
2007,0,"Currituck","county",23731,0,-9,-9
2008,0,"Currituck","county",23486,0,-9,-9
2009,0,"Currituck","county",23502,0,-9,-9
2010,0,"Currituck","county",23559,0,-9,-9
2011,0,"Currituck","county",23643,0,-9,-9
2012,0,"Currituck","county",23767,0,-9,-9
2013,1,"Currituck","county",24506,0.41,-9,-9
2014,1,"Currituck","county",25072,0.4,-9,-9
2015,0,"Currituck","county",25627,0,-9,-9
2016,0,"Currituck","county",26101,0,-9,-9
2017,0,"Currituck","county",26604,0,-9,-9
2000,2,"Dare","county",29967,0.67,-9,-9
2001,2,"Dare","county",31184,0.64,-9,-9
2002,2,"Dare","county",31812,0.63,-9,-9
2003,2,"Dare","county",32440,0.62,-9,-9
2004,2,"Dare","county",33906,0.59,-9,-9
2005,2,"Dare","county",35145,0.57,-9,-9
2006,1,"Dare","county",34730,0.29,-9,-9
2007,1,"Dare","county",34272,0.29,-9,-9
2008,2,"Dare","county",33812,0.59,-9,-9
2009,2,"Dare","county",34253,0.58,-9,-9
2010,2,"Dare","county",33886,0.59,-9,-9
2011,2,"Dare","county",34216,0.58,-9,-9
2012,2,"Dare","county",34810,0.57,-9,-9
2013,1,"Dare","county",35273,0.28,-9,-9
2014,1,"Dare","county",35415,0.28,-9,-9
2015,2,"Dare","county",36001,0.56,-9,-9
2016,2,"Dare","county",36387,0.55,-9,-9
2017,2,"Dare","county",36792,0.54,-9,-9
2000,1,"Davidson","county",147246,0.07,-9,-9
2001,1,"Davidson","county",149098,0.07,-9,-9
2002,1,"Davidson","county",151125,0.07,-9,-9
2003,1,"Davidson","county",153152,0.07,-9,-9
2004,2,"Davidson","county",153897,0.13,-9,-9
2005,2,"Davidson","county",154796,0.13,-9,-9
2006,2,"Davidson","county",155343,0.13,-9,-9
2007,2,"Davidson","county",156400,0.13,-9,-9
2008,2,"Davidson","county",158897,0.13,-9,-9
2009,1,"Davidson","county",159987,0.06,-9,-9
2010,1,"Davidson","county",163488,0.06,-9,-9
2011,1,"Davidson","county",163364,0.06,-9,-9
2012,1,"Davidson","county",163410,0.06,-9,-9
2013,1,"Davidson","county",163770,0.06,-9,-9
2014,1,"Davidson","county",164454,0.06,-9,-9
2015,1,"Davidson","county",165193,0.06,-9,-9
2016,1,"Davidson","county",166137,0.06,-9,-9
2017,2,"Davidson","county",167105,0.12,-9,-9
2000,0,"Davie","county",34835,0,-9,-9
2001,0,"Davie","county",36232,0,-9,-9
2002,0,"Davie","county",36883,0,-9,-9
2003,0,"Davie","county",37535,0,-9,-9
2004,0,"Davie","county",37871,0,-9,-9
2005,0,"Davie","county",38644,0,-9,-9
2006,0,"Davie","county",39838,0,-9,-9
2007,0,"Davie","county",40447,0,-9,-9
2008,0,"Davie","county",40980,0,-9,-9
2009,0,"Davie","county",41760,0,-9,-9
2010,0,"Davie","county",41378,0,-9,-9
2011,1,"Davie","county",41560,0.24,-9,-9
2012,0,"Davie","county",41412,0,-9,-9
2013,0,"Davie","county",41507,0,-9,-9
2014,1,"Davie","county",41476,0.24,-9,-9
2015,1,"Davie","county",41743,0.24,-9,-9
2016,1,"Davie","county",42211,0.24,-9,-9
2017,1,"Davie","county",42727,0.23,-9,-9
2000,1,"Duplin","county",49063,0.2,-9,-9
2001,1,"Duplin","county",49595,0.2,-9,-9
2002,0,"Duplin","county",50703,0,-9,-9
2003,0,"Duplin","county",51812,0,-9,-9
2004,2,"Duplin","county",51821,0.39,-9,-9
2005,2,"Duplin","county",52141,0.38,-9,-9
2006,2,"Duplin","county",52708,0.38,-9,-9
2007,2,"Duplin","county",53133,0.38,-9,-9
2008,2,"Duplin","county",53442,0.37,-9,-9
2009,2,"Duplin","county",53672,0.37,-9,-9
2010,2,"Duplin","county",58729,0.34,-9,-9
2011,2,"Duplin","county",59476,0.34,-9,-9
2012,0,"Duplin","county",60059,0,-9,-9
2013,0,"Duplin","county",60104,0,-9,-9
2014,0,"Duplin","county",60126,0,-9,-9
2015,0,"Duplin","county",59868,0,-9,-9
2016,0,"Duplin","county",59597,0,-9,-9
2017,0,"Duplin","county",59513,0,-9,-9
2000,9,"Durham","county",223314,0.4,0.2222,0
2001,8,"Durham","county",228087,0.35,0.25,0
2002,8,"Durham","county",231434,0.35,0.25,0
2003,6,"Durham","county",234780,0.26,0.1667,0
2004,8,"Durham","county",239662,0.33,0.125,0
2005,6,"Durham","county",242527,0.25,0.1667,0
2006,7,"Durham","county",246825,0.28,0.1429,0
2007,8,"Durham","county",254740,0.31,0.25,0
2008,8,"Durham","county",260471,0.31,0.25,0.125
2009,7,"Durham","county",266189,0.26,0.1429,0.1429
2010,8,"Durham","county",268925,0.3,0.125,0.125
2011,8,"Durham","county",272314,0.29,0.125,0.125
2012,11,"Durham","county",282511,0.39,0.1818,0.0909
2013,10,"Durham","county",286053,0.35,0.1,0.1
2014,12,"Durham","county",292191,0.41,0.1667,0.0833
2015,13,"Durham","county",297219,0.44,0.2308,0.0769
2016,11,"Durham","county",301520,0.36,0.1818,0
2017,11,"Durham","county",306184,0.36,0.1818,0
2000,2,"Edgecombe","county",55606,0.36,-9,-9
2001,3,"Edgecombe","county",54713,0.55,-9,-9
2002,2,"Edgecombe","county",54630,0.37,-9,-9
2003,2,"Edgecombe","county",54547,0.37,-9,-9
2004,3,"Edgecombe","county",53777,0.56,-9,-9
2005,2,"Edgecombe","county",53554,0.37,-9,-9
2006,2,"Edgecombe","county",52641,0.38,-9,-9
2007,1,"Edgecombe","county",51813,0.19,-9,-9
2008,0,"Edgecombe","county",51811,0,-9,-9
2009,0,"Edgecombe","county",51339,0,-9,-9
2010,0,"Edgecombe","county",56681,0,-9,-9
2011,0,"Edgecombe","county",56089,0,-9,-9
2012,0,"Edgecombe","county",56085,0,-9,-9
2013,0,"Edgecombe","county",55704,0,-9,-9
2014,0,"Edgecombe","county",55483,0,-9,-9
2015,0,"Edgecombe","county",54367,0,-9,-9
2016,0,"Edgecombe","county",53502,0,-9,-9
2017,0,"Edgecombe","county",52856,0,-9,-9
2000,18,"Forsyth","county",306067,0.59,0.0556,0.1667
2001,21,"Forsyth","county",310331,0.68,0.1429,0.1429
2002,20,"Forsyth","county",314540,0.64,0.1,0.15
2003,20,"Forsyth","county",318751,0.63,0.1,0.15
2004,20,"Forsyth","county",321852,0.62,0.1,0.15
2005,17,"Forsyth","county",324361,0.52,0.1176,0.0588
2006,18,"Forsyth","county",331851,0.54,0.1667,0.0556
2007,19,"Forsyth","county",338679,0.56,0.1579,0.1579
2008,18,"Forsyth","county",343786,0.52,0.1667,0.1667
2009,17,"Forsyth","county",355640,0.48,0.1176,0.1765
2010,18,"Forsyth","county",351798,0.51,0.1667,0.2222
2011,20,"Forsyth","county",354878,0.56,0.1,0.25
2012,22,"Forsyth","county",357767,0.61,0.1364,0.1818
2013,21,"Forsyth","county",360471,0.58,0.1429,0.1905
2014,19,"Forsyth","county",364248,0.52,0.1053,0.1579
2015,18,"Forsyth","county",366543,0.49,0.1111,0.1111
2016,22,"Forsyth","county",369144,0.6,0.2273,0.0909
2017,20,"Forsyth","county",372651,0.54,0.2,0.15
2000,0,"Franklin","county",47260,0,-9,-9
2001,0,"Franklin","county",48813,0,-9,-9
2002,0,"Franklin","county",49946,0,-9,-9
2003,0,"Franklin","county",51079,0,-9,-9
2004,0,"Franklin","county",52855,0,-9,-9
2005,0,"Franklin","county",54181,0,-9,-9
2006,0,"Franklin","county",55316,0,-9,-9
2007,0,"Franklin","county",56456,0,-9,-9
2008,0,"Franklin","county",57911,0,-9,-9
2009,0,"Franklin","county",59199,0,-9,-9
2010,0,"Franklin","county",60978,0,-9,-9
2011,0,"Franklin","county",61651,0,-9,-9
2012,0,"Franklin","county",61840,0,-9,-9
2013,0,"Franklin","county",62697,0,-9,-9
2014,0,"Franklin","county",63225,0,-9,-9
2015,0,"Franklin","county",64206,0,-9,-9
2016,0,"Franklin","county",65445,0,-9,-9
2017,0,"Franklin","county",66514,0,-9,-9
2000,5,"Gaston","county",190365,0.26,0,0
2001,5,"Gaston","county",191112,0.26,0,0
2002,5,"Gaston","county",192603,0.26,0.2,0
2003,6,"Gaston","county",194094,0.31,0.1667,0
2004,6,"Gaston","county",192650,0.31,0.1667,0
2005,6,"Gaston","county",192641,0.31,0.1667,0
2006,6,"Gaston","county",197232,0.3,0.1667,0
2007,5,"Gaston","county",200972,0.25,0,0
2008,7,"Gaston","county",205014,0.34,0.1429,0
2009,7,"Gaston","county",207270,0.34,0.1429,0
2010,6,"Gaston","county",206384,0.29,0.1667,0
2011,6,"Gaston","county",207506,0.29,0.1667,0
2012,6,"Gaston","county",208582,0.29,0.1667,0
2013,6,"Gaston","county",209571,0.29,0.1667,0
2014,7,"Gaston","county",210735,0.33,0.1429,0
2015,7,"Gaston","county",212636,0.33,0.1429,0
2016,7,"Gaston","county",215489,0.32,0.1429,0
2017,7,"Gaston","county",218527,0.32,0.1429,0
2000,0,"Gates","county",10516,0,-9,-9
2001,0,"Gates","county",10492,0,-9,-9
2002,0,"Gates","county",10609,0,-9,-9
2003,0,"Gates","county",10726,0,-9,-9
2004,0,"Gates","county",10882,0,-9,-9
2005,0,"Gates","county",11071,0,-9,-9
2006,0,"Gates","county",11563,0,-9,-9
2007,0,"Gates","county",11819,0,-9,-9
2008,0,"Gates","county",11584,0,-9,-9
2009,0,"Gates","county",11623,0,-9,-9
2010,0,"Gates","county",12214,0,-9,-9
2011,0,"Gates","county",11944,0,-9,-9
2012,0,"Gates","county",11830,0,-9,-9
2013,0,"Gates","county",11880,0,-9,-9
2014,0,"Gates","county",11912,0,-9,-9
2015,0,"Gates","county",11739,0,-9,-9
2016,0,"Gates","county",11891,0,-9,-9
2017,0,"Gates","county",11960,0,-9,-9
2000,0,"Graham","county",7993,0,-9,-9
2001,0,"Graham","county",8034,0,-9,-9
2002,0,"Graham","county",8108,0,-9,-9
2003,0,"Graham","county",8181,0,-9,-9
2004,0,"Graham","county",8137,0,-9,-9
2005,0,"Graham","county",8105,0,-9,-9
2006,0,"Graham","county",8106,0,-9,-9
2007,0,"Graham","county",8144,0,-9,-9
2008,0,"Graham","county",8087,0,-9,-9
2009,0,"Graham","county",8327,0,-9,-9
2010,0,"Graham","county",8888,0,-9,-9
2011,0,"Graham","county",8942,0,-9,-9
2012,0,"Graham","county",8850,0,-9,-9
2013,0,"Graham","county",8854,0,-9,-9
2014,0,"Graham","county",8829,0,-9,-9
2015,0,"Graham","county",8761,0,-9,-9
2016,0,"Graham","county",8835,0,-9,-9
2017,0,"Graham","county",8837,0,-9,-9
2000,1,"Granville","county",48498,0.21,-9,-9
2001,1,"Granville","county",49671,0.2,-9,-9
2002,1,"Granville","county",50638,0.2,-9,-9
2003,1,"Granville","county",51605,0.19,-9,-9
2004,1,"Granville","county",53346,0.19,-9,-9
2005,1,"Granville","county",53977,0.19,-9,-9
2006,1,"Granville","county",53837,0.19,-9,-9
2007,1,"Granville","county",55667,0.18,-9,-9
2008,1,"Granville","county",56254,0.18,-9,-9
2009,0,"Granville","county",57439,0,-9,-9
2010,0,"Granville","county",60122,0,-9,-9
2011,0,"Granville","county",60863,0,-9,-9
2012,0,"Granville","county",56748,0,-9,-9
2013,0,"Granville","county",57910,0,-9,-9
2014,0,"Granville","county",58104,0,-9,-9
2015,1,"Granville","county",58547,0.17,-9,-9
2016,1,"Granville","county",59433,0.17,-9,-9
2017,1,"Granville","county",59975,0.17,-9,-9
2000,0,"Greene","county",18974,0,-9,-9
2001,0,"Greene","county",19008,0,-9,-9
2002,0,"Greene","county",19443,0,-9,-9
2003,0,"Greene","county",19878,0,-9,-9
2004,0,"Greene","county",20262,0,-9,-9
2005,0,"Greene","county",20267,0,-9,-9
2006,0,"Greene","county",20839,0,-9,-9
2007,0,"Greene","county",21110,0,-9,-9
2008,0,"Greene","county",21210,0,-9,-9
2009,0,"Greene","county",21389,0,-9,-9
2010,0,"Greene","county",21382,0,-9,-9
2011,0,"Greene","county",21489,0,-9,-9
2012,0,"Greene","county",21363,0,-9,-9
2013,0,"Greene","county",21073,0,-9,-9
2014,0,"Greene","county",21286,0,-9,-9
2015,0,"Greene","county",21158,0,-9,-9
2016,0,"Greene","county",21421,0,-9,-9
2017,0,"Greene","county",21522,0,-9,-9
2000,15,"Guilford","county",421048,0.36,0.1333,0.0667
2001,16,"Guilford","county",424031,0.38,0.1875,0.125
2002,16,"Guilford","county",432412,0.37,0.1875,0.0625
2003,18,"Guilford","county",440793,0.41,0.2222,0
2004,17,"Guilford","county",438520,0.39,0.1765,0
2005,16,"Guilford","county",438775,0.36,0.1875,0
2006,16,"Guilford","county",449071,0.36,0.1875,0
2007,15,"Guilford","county",460780,0.33,0.2,0
2008,16,"Guilford","county",468439,0.34,0.1875,0
2009,17,"Guilford","county",476038,0.36,0.2353,0
2010,18,"Guilford","county",490371,0.37,0.2222,0.0556
2011,17,"Guilford","county",495231,0.34,0.2353,0.0588
2012,17,"Guilford","county",502190,0.34,0.2941,0.0588
2013,19,"Guilford","county",507419,0.37,0.3158,0.1053
2014,18,"Guilford","county",512273,0.35,0.3333,0.1111
2015,19,"Guilford","county",517124,0.37,0.3158,0.1053
2016,19,"Guilford","county",520230,0.37,0.3158,0.1579
2017,24,"Guilford","county",523962,0.46,0.2917,0.125
2000,1,"Halifax","county",57370,0.17,-9,-9
2001,1,"Halifax","county",57117,0.18,-9,-9
2002,1,"Halifax","county",57227,0.17,-9,-9
2003,1,"Halifax","county",57335,0.17,-9,-9
2004,1,"Halifax","county",56947,0.18,-9,-9
2005,1,"Halifax","county",56344,0.18,-9,-9
2006,1,"Halifax","county",55601,0.18,-9,-9
2007,1,"Halifax","county",55352,0.18,-9,-9
2008,1,"Halifax","county",55218,0.18,-9,-9
2009,1,"Halifax","county",55179,0.18,-9,-9
2010,1,"Halifax","county",54627,0.18,-9,-9
2011,1,"Halifax","county",54397,0.18,-9,-9
2012,1,"Halifax","county",54237,0.18,-9,-9
2013,1,"Halifax","county",53705,0.19,-9,-9
2014,1,"Halifax","county",53190,0.19,-9,-9
2015,1,"Halifax","county",52423,0.19,-9,-9
2016,2,"Halifax","county",52160,0.38,-9,-9
2017,2,"Halifax","county",51815,0.39,-9,-9
2000,1,"Harnett","county",91025,0.11,-9,-9
2001,1,"Harnett","county",93678,0.11,-9,-9
2002,1,"Harnett","county",96293,0.1,-9,-9
2003,1,"Harnett","county",98908,0.1,-9,-9
2004,1,"Harnett","county",100271,0.1,-9,-9
2005,1,"Harnett","county",101737,0.1,-9,-9
2006,1,"Harnett","county",103717,0.1,-9,-9
2007,3,"Harnett","county",106506,0.28,-9,-9
2008,3,"Harnett","county",109659,0.27,-9,-9
2009,3,"Harnett","county",112864,0.27,-9,-9
2010,3,"Harnett","county",115579,0.26,-9,-9
2011,3,"Harnett","county",118615,0.25,-9,-9
2012,2,"Harnett","county",121264,0.16,-9,-9
2013,3,"Harnett","county",123316,0.24,-9,-9
2014,3,"Harnett","county",125730,0.24,-9,-9
2015,1,"Harnett","county",127127,0.08,-9,-9
2016,1,"Harnett","county",128783,0.08,-9,-9
2017,1,"Harnett","county",130847,0.08,-9,-9
2000,3,"Haywood","county",54033,0.56,-9,-9
2001,3,"Haywood","county",54594,0.55,-9,-9
2002,3,"Haywood","county",55240,0.54,-9,-9
2003,3,"Haywood","county",55886,0.54,-9,-9
2004,3,"Haywood","county",56418,0.53,-9,-9
2005,3,"Haywood","county",57097,0.53,-9,-9
2006,3,"Haywood","county",56664,0.53,-9,-9
2007,3,"Haywood","county",57031,0.53,-9,-9
2008,4,"Haywood","county",57120,0.7,-9,-9
2009,5,"Haywood","county",58043,0.86,0,0
2010,4,"Haywood","county",59148,0.68,-9,-9
2011,6,"Haywood","county",59684,1.01,0.1667,0
2012,6,"Haywood","county",59291,1.01,0.1667,0
2013,6,"Haywood","county",59674,1.01,0.1667,0
2014,6,"Haywood","county",59913,1,0.1667,0
2015,6,"Haywood","county",60631,0.99,0.1667,0
2016,6,"Haywood","county",61771,0.97,0.1667,0
2017,5,"Haywood","county",62277,0.8,0.2,0
2000,2,"Henderson","county",89173,0.22,-9,-9
2001,3,"Henderson","county",91546,0.33,-9,-9
2002,3,"Henderson","county",93430,0.32,-9,-9
2003,2,"Henderson","county",95314,0.21,-9,-9
2004,3,"Henderson","county",96370,0.31,-9,-9
2005,4,"Henderson","county",97810,0.41,-9,-9
2006,4,"Henderson","county",100106,0.4,-9,-9
2007,4,"Henderson","county",102142,0.39,-9,-9
2008,4,"Henderson","county",103855,0.39,-9,-9
2009,4,"Henderson","county",105246,0.38,-9,-9
2010,6,"Henderson","county",107177,0.56,0.1667,0.1667
2011,5,"Henderson","county",108448,0.46,0.2,0.2
2012,5,"Henderson","county",108183,0.46,0.2,0.2
2013,5,"Henderson","county",109287,0.46,0.2,0.2
2014,5,"Henderson","county",110897,0.45,0.2,0.2
2015,6,"Henderson","county",112511,0.53,0.1667,0.1667
2016,6,"Henderson","county",114385,0.52,0.1667,0.1667
2017,7,"Henderson","county",116173,0.6,0.1429,0.1429
2000,0,"Hertford","county",22601,0,-9,-9
2001,0,"Hertford","county",22182,0,-9,-9
2002,0,"Hertford","county",22235,0,-9,-9
2003,0,"Hertford","county",22289,0,-9,-9
2004,0,"Hertford","county",23794,0,-9,-9
2005,0,"Hertford","county",23844,0,-9,-9
2006,0,"Hertford","county",23901,0,-9,-9
2007,0,"Hertford","county",23730,0,-9,-9
2008,0,"Hertford","county",23697,0,-9,-9
2009,0,"Hertford","county",23960,0,-9,-9
2010,0,"Hertford","county",24711,0,-9,-9
2011,0,"Hertford","county",24466,0,-9,-9
2012,0,"Hertford","county",24451,0,-9,-9
2013,0,"Hertford","county",24621,0,-9,-9
2014,0,"Hertford","county",24578,0,-9,-9
2015,0,"Hertford","county",24426,0,-9,-9
2016,0,"Hertford","county",24038,0,-9,-9
2017,0,"Hertford","county",23947,0,-9,-9
2000,0,"Hoke","county",33646,0,-9,-9
2001,0,"Hoke","county",34843,0,-9,-9
2002,0,"Hoke","county",36140,0,-9,-9
2003,0,"Hoke","county",37438,0,-9,-9
2004,0,"Hoke","county",38193,0,-9,-9
2005,0,"Hoke","county",39808,0,-9,-9
2006,0,"Hoke","county",42186,0,-9,-9
2007,0,"Hoke","county",42932,0,-9,-9
2008,0,"Hoke","county",44442,0,-9,-9
2009,0,"Hoke","county",46141,0,-9,-9
2010,0,"Hoke","county",47298,0,-9,-9
2011,0,"Hoke","county",49065,0,-9,-9
2012,0,"Hoke","county",50036,0,-9,-9
2013,0,"Hoke","county",50672,0,-9,-9
2014,0,"Hoke","county",50982,0,-9,-9
2015,0,"Hoke","county",51776,0,-9,-9
2016,0,"Hoke","county",52214,0,-9,-9
2017,0,"Hoke","county",53343,0,-9,-9
2000,0,"Hyde","county",5826,0,-9,-9
2001,0,"Hyde","county",5738,0,-9,-9
2002,0,"Hyde","county",5784,0,-9,-9
2003,0,"Hyde","county",5830,0,-9,-9
2004,0,"Hyde","county",5792,0,-9,-9
2005,0,"Hyde","county",5607,0,-9,-9
2006,0,"Hyde","county",5511,0,-9,-9
2007,0,"Hyde","county",5447,0,-9,-9
2008,0,"Hyde","county",5512,0,-9,-9
2009,0,"Hyde","county",5388,0,-9,-9
2010,0,"Hyde","county",5813,0,-9,-9
2011,0,"Hyde","county",5815,0,-9,-9
2012,0,"Hyde","county",5742,0,-9,-9
2013,0,"Hyde","county",5806,0,-9,-9
2014,0,"Hyde","county",5738,0,-9,-9
2015,0,"Hyde","county",5631,0,-9,-9
2016,0,"Hyde","county",5621,0,-9,-9
2017,0,"Hyde","county",5644,0,-9,-9
2000,3,"Iredell","county",122660,0.24,-9,-9
2001,3,"Iredell","county",127899,0.23,-9,-9
2002,3,"Iredell","county",130869,0.23,-9,-9
2003,3,"Iredell","county",133838,0.22,-9,-9
2004,3,"Iredell","county",136387,0.22,-9,-9
2005,3,"Iredell","county",139135,0.22,-9,-9
2006,3,"Iredell","county",145232,0.21,-9,-9
2007,7,"Iredell","county",150421,0.47,0,0.2857
2008,7,"Iredell","county",154169,0.45,0.1429,0.1429
2009,7,"Iredell","county",157039,0.45,0.1429,0.1429
2010,8,"Iredell","county",160107,0.5,0.125,0.125
2011,8,"Iredell","county",161522,0.5,0.125,0.125
2012,11,"Iredell","county",163043,0.67,0.1818,0.0909
2013,12,"Iredell","county",164974,0.73,0.1667,0.0833
2014,9,"Iredell","county",167157,0.54,0.2222,0
2015,10,"Iredell","county",170230,0.59,0.2,0
2016,10,"Iredell","county",173391,0.58,0.3,0
2017,11,"Iredell","county",176563,0.62,0.2727,0.0909
2000,1,"Jackson","county",33121,0.3,-9,-9
2001,1,"Jackson","county",33662,0.3,-9,-9
2002,1,"Jackson","county",34196,0.29,-9,-9
2003,1,"Jackson","county",34729,0.29,-9,-9
2004,1,"Jackson","county",35627,0.28,-9,-9
2005,1,"Jackson","county",36245,0.28,-9,-9
2006,1,"Jackson","county",36312,0.28,-9,-9
2007,1,"Jackson","county",36815,0.27,-9,-9
2008,1,"Jackson","county",36998,0.27,-9,-9
2009,0,"Jackson","county",37999,0,-9,-9
2010,0,"Jackson","county",40480,0,-9,-9
2011,0,"Jackson","county",40606,0,-9,-9
